Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.302,90.889,90.139,89.118,87.591,84.114,80.941,78.147,75.878,74.734,75.066,76.733,79.207,80.863,81.322,82.017,82.386,82.299,81.693,80.756,81.232,82.35,83.145,84.9,84.238,86.482,87.955,89.156,90.166,89.483,88.481,87.862,86.887,87.126,86.666,87.339,87.328,87.791,87.982,87.003,85.611,84.155,81.131,78.025,76.9,75.968,73.845,71.698,69.141,67.334,65.474,64.773,64.285,63.947,63.365,61.779,58.372,56.558,54.287,50.958,47.46,45.67,42.881,42.686,..
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4508006149716,5.6490539026237,10.0561007922548,11.8573320632089,11.1453640115501,10.3636386654384,9.36152021128553,9.79723660427779,8.44158737716968,6.96343671917276,6.84138937730153,6.80608488408303,6.77810923883982,8.72198937517673,5.01166646465693,4.76841121077967,4.68504702949228,4.7500447835131,4.64598154008681,4.75045997570861,4.80104301642181,5.47527489339298,6.1671843856504,5.66531157603221,4.65116882283132,4.3700437788908,4.41691543634403,4.56785118025741,4.47677399209847,4.11575648779356,4.34203412783304,4.16832822439069,4.50688618256533,4.32561053879483,4.31914942964047,4.89135358790863,4.60059169568986,4.4203993038464,4.20501409463474,5.71148511499007,6.5587626121061,5.76747490819457,6.02306023526246,5.57967431437384
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.61897191308956,0.657893187304363,0.696814461520933,0.735735735735736,0.774657009950539,0.813578284167108,0.852499558381911,0.891420832596714,0.930342106813284,0.968556792086204,0.974209503621268,0.979862215156333,0.985514926691397,0.991167638226462,0.996820349761526,1.00247306129659,1.00812577283166,1.01377848436672,1.01943119590178,1.02508390743685,1.0990990990991,1.17295530824943,1.2468799682035,1.32080462815757,1.27743552375905,1.23406641936054,1.19069731496202,1.14859565447801,1.1280692457163,1.17134781840664,1.16021904257198,1.17470411588059,1.19130895601484,1.18689277512807,1.18901254195372,..,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.5,..,..,..,..,87.3,98.6,98.6,98.6,98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,98,98.4,98.2,98.6,98.7,98.8,98.4,98.4,..,..,..,..
Brazil,BRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.2,..,..,..,..,..,..,..,..,..,76.7,..,..,..,..,..,..,..,..,..,..,80.6,..,..,..,..,..,80.2004995714604,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,458.679491098732,497.609524146838,552.782265930882,602.770919217326,649.054844256246,719.313955335846,787.072161018197,856.731772998874,937.702569236279,1012.346921449,1017.4902194334,1052.41632230147,1108.82899006216,1206.1161627315,1280.76772271118,1352.27633918687,1366.04001628745,1417.66783399791,1448.20270267282,1459.3891403299,1485.47770766462,1493.90946025703,1538.12717642652,1568.41107958141,1637.27628824207,1691.31966398402,1768.19912731098,1815.03089492586,1839.60709325481,1905.7710269775,1756.81160837002,1817.13540112192,1894.62909554308,1970.41586550174,2031.50607953893,2089.17498538706,2185.74876193515,2249.32535945695,2217.79002848663,2398.60801799243,2458.55879343851,2530.977463284,2600.67222764742,2690.2149503596,2628.0976910972,2592.61337303819,2610.16613569938,2640.41643831267,2661.18328561313,2624.84323723758,2723.96659104663,2787.76089640442,2916.48609397384,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,713.96314764895,746.858284444184,799.008539645861,830.156597210906,846.390272995435,867.526682271491,875.408827292336,909.534197394343,944.372180017234,939.308043091506,880.370457264617,874.925193909653,876.940006746433,913.184843796039,954.528214999905,978.804886957783,996.88867740878,991.221365636064,992.720291025905,942.317182249676,943.263545697103,937.431462820155,945.489101780969,980.074664998028,998.777374735819,1035.82555427523,1072.29461426603,1082.21810429873,1091.29495874763,1081.36193393467,1086.99299318566,1103.40127916211,1107.9739157885,1157.16905577095,1173.71585743449,1202.05933940304,1257.18369855417,1314.44467157094,1258.83931042818,1381.00123628752,1386.56123964361,1429.55235018298,1483.68231791026,1517.77055485822,1477.71135638764,1411.50090973164,1428.63671291905,1400.2173612336,1412.60729823853,1375.83163242979,1426.92356611297,1428.99253421834,1477.28505055306,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,6.28181356216762,6.42021675517618,4.00847871772255,8.93314544401188,6.46099666497353,7.50316443059153,6.53020390757968,5.67719217542334,5.99087444407956,6.67156538418794,7.02942560498826,6.45722050038782,7.27211396407972,7.84487342902518,7.67312781088189,7.21800682637617,7.01316307160746,7.24526115542366,6.69298607932397,7.24078004876568,8.96239487326747,9.62284037096842,7.90048452532258,12.2437555659291,15.0354125354877,12.9485790961438,9.21727907000127,9.82848202733551,11.6673585476931,8.92960967188901,8.1972364845005,8.67763659887868,10.8683116605935,10.5032716554144,9.51307642702004,7.52887503847073,6.73020968312685,6.98364957530895,7.03050033871807,9.5648982609794,10.1880480043795,12.37171066993,14.2305902713775,15.1807837086861,16.5457615119353,15.2438292665623,14.3743163038801,13.3276751040789,13.5340005128387,10.8513711347491,10.8655847752557,11.5825126785455,11.8775390704316,11.7422306460189,11.0119428190539,12.900191418386,12.4666790429968,12.5189678698768,14.6349994955075,14.1229191913178,16.4535520094071,19.1094303688709,19.6307650034371,17.9693243032741,18.0146799833275
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,5984162468.6,7726273573.1,11863655548.9,15066000213.8,22464958636,27781563139.4,33801318618.9,42500176105.4,55032094032.5,61795286977.7,71983934096.8,81914155928.9,94428719113.5,99022210538.2,104364922436.4,104173244270.1,109645181057.1,120476573202.5,118039405885,114930095027.7,120311895094.7,121336709129.8,129535948557.2,144599577124.3,152903103557.7,160964228343.5,181793526989.2,198980293495.1,241998415763.8,245114967226,242511685521.8,229959717402.1,231944181034.5,235907984168.4,220693592600.6,188364545589.9,194303018016.9,238444452622.6,262957236462.6,281651138432.4,352364412862.6,404046105342.1,440496598192.8,483734834011.9,556919631071.7,543397356309.8,543257228545.3,543000470110.9,557765380774.6,568708887352.2,549325935898.2,571530916149.8,579468087189.4,607115489833,..
